cohort_month,month_number,retained_users,cohort_size,retention_pct
2004-04,10,4,12,33.3
2004-04,11,6,12,50.0
2004-04,12,6,12,50.0
2004-05,9,2,5,40.0
2004-05,10,2,5,40.0
2004-05,11,2,5,40.0
2004-05,12,2,5,40.0
2004-07,7,1,4,25.0
2004-07,8,1,4,25.0
2004-07,9,1,4,25.0
2004-07,10,1,4,25.0
2004-07,11,1,4,25.0
2004-07,12,1,4,25.0
2004-09,5,3,10,30.0
2004-09,6,4,10,40.0
2004-09,7,3,10,30.0
2004-09,8,4,10,40.0
2004-09,9,4,10,40.0
2004-09,10,4,10,40.0
2004-09,11,4,10,40.0
2004-09,12,4,10,40.0
2004-10,4,4,11,36.4
2004-10,5,5,11,45.5
2004-10,6,5,11,45.5
2004-10,7,5,11,45.5
2004-10,8,4,11,36.4
2004-10,9,5,11,45.5
2004-10,10,4,11,36.4
2004-10,11,4,11,36.4
2004-10,12,4,11,36.4
2004-11,3,3,6,50.0
2004-11,4,3,6,50.0
2004-11,5,3,6,50.0
2004-11,6,4,6,66.7
2004-11,7,2,6,33.3
2004-11,8,3,6,50.0
2004-11,9,2,6,33.3
2004-11,10,2,6,33.3
2004-11,11,2,6,33.3
2004-11,12,2,6,33.3
2004-12,2,4,17,23.5
2004-12,3,5,17,29.4
2004-12,4,7,17,41.2
2004-12,5,6,17,35.3
2004-12,6,4,17,23.5
2004-12,7,5,17,29.4
2004-12,8,5,17,29.4
2004-12,9,4,17,23.5
2004-12,10,5,17,29.4
2004-12,11,4,17,23.5
2004-12,12,8,17,47.1
2005-01,1,13,21,61.9
2005-01,2,14,21,66.7
2005-01,3,11,21,52.4
2005-01,4,11,21,52.4
2005-01,5,10,21,47.6
2005-01,6,10,21,47.6
2005-01,7,11,21,52.4
2005-01,8,10,21,47.6
2005-01,9,12,21,57.1
2005-01,10,12,21,57.1
2005-01,11,13,21,61.9
2005-01,12,14,21,66.7
2005-02,0,13,17,76.5
2005-02,1,13,17,76.5
2005-02,2,12,17,70.6
2005-02,3,10,17,58.8
2005-02,4,11,17,64.7
2005-02,5,11,17,64.7
2005-02,6,12,17,70.6
2005-02,7,9,17,52.9
2005-02,8,10,17,58.8
2005-02,9,10,17,58.8
2005-02,10,9,17,52.9
2005-02,11,9,17,52.9
2005-02,12,9,17,52.9
2005-03,0,10,19,52.6
2005-03,1,11,19,57.9
2005-03,2,12,19,63.2
2005-03,3,12,19,63.2
2005-03,4,10,19,52.6
2005-03,5,10,19,52.6
2005-03,6,9,19,47.4
2005-03,7,10,19,52.6
2005-03,8,10,19,52.6
2005-03,9,11,19,57.9
2005-03,10,11,19,57.9
2005-03,11,10,19,52.6
2005-03,12,10,19,52.6
2005-04,0,13,20,65.0
2005-04,1,14,20,70.0
