month,mau
2005-02,55
2005-03,71
2005-04,83
2005-05,88
2005-06,98
2005-07,111
2005-08,122
2005-09,134
2005-10,147
2005-11,162
2005-12,203
2006-01,226
2006-02,264
2006-03,296
2006-04,322
2006-05,344
2006-06,387
2006-07,392
2006-08,426
2006-09,427
2006-10,440
2006-11,455
2006-12,471
2007-01,498
2007-02,506
2007-03,508
2007-04,512
2007-05,516
2007-06,528
2007-07,525
2007-08,548
2007-09,562
2007-10,568
2007-11,570
2007-12,566
2008-01,567
2008-02,569
2008-03,590
2008-04,592
2008-05,601
2008-06,600
2008-07,615
2008-08,613
2008-09,606
2008-10,622
2008-11,640
2008-12,664
2009-01,654
2009-02,673
2009-03,695
2009-04,775
2009-05,513
