month,total_revenue
2005-02,524.51
2005-03,634.39
2005-04,729.28
2005-05,799.22
2005-06,879.12
2005-07,984.01
2005-08,1103.91
2005-09,1208.81
2005-10,1343.7
2005-11,1538.52
2005-12,1963.13
2006-01,2133.0
2006-02,2502.65
2006-03,2817.39
2006-04,3032.19
2006-05,3207.03
2006-06,3366.84
2006-07,3441.75
2006-08,3706.52
2006-09,3871.38
2006-10,3961.31
2006-11,4086.2
2006-12,4286.01
2007-01,4470.84
2007-02,4525.79
2007-03,4560.74
2007-04,4645.66
2007-05,4680.62
2007-06,4605.69
2007-07,4680.62
2007-08,4825.49
2007-09,4960.37
2007-10,5035.28
2007-11,5075.23
2007-12,5000.33
2008-01,5135.21
2008-02,5115.22
2008-03,5190.13
2008-04,5260.08
2008-05,5359.99
2008-06,5489.88
2008-07,5484.87
2008-08,5444.91
2008-09,5464.9
2008-10,5544.83
2008-11,5629.74
2008-12,5784.61
2009-01,5664.7
2009-02,5649.72
2009-03,5754.62
2009-04,6084.33
2009-05,3861.42
