plan_type,country,month,play_count,unique_listeners
Family,Argentina,2006-03,260,1
Family,Argentina,2006-04,580,1
Family,Argentina,2006-05,1907,2
Family,Argentina,2006-06,1086,2
Family,Argentina,2006-07,1385,2
Family,Argentina,2006-08,1708,2
Family,Argentina,2006-09,1982,2
Family,Argentina,2006-10,1848,2
Family,Argentina,2006-11,1683,2
Family,Argentina,2006-12,2091,2
Family,Argentina,2007-01,2184,2
Family,Argentina,2007-02,1803,2
Family,Argentina,2007-03,1263,2
Family,Argentina,2007-04,623,2
Family,Argentina,2007-05,1716,2
Family,Argentina,2007-06,1824,2
Family,Argentina,2007-07,1585,2
Family,Argentina,2007-08,3023,2
Family,Argentina,2007-09,3020,2
Family,Argentina,2007-10,2874,2
Family,Argentina,2007-11,2308,2
Family,Argentina,2007-12,2276,2
Family,Argentina,2008-01,2078,2
Family,Argentina,2008-02,2235,2
Family,Argentina,2008-03,2241,2
Family,Argentina,2008-04,1902,2
Family,Argentina,2008-05,2031,2
Family,Argentina,2008-06,1907,2
Family,Argentina,2008-07,1286,2
Family,Argentina,2008-08,1345,2
Family,Argentina,2008-09,1331,2
Family,Argentina,2008-10,1068,2
Family,Argentina,2008-11,1589,2
Family,Argentina,2008-12,1586,2
Family,Argentina,2009-01,1139,2
Family,Argentina,2009-02,1176,2
Family,Argentina,2009-03,1524,2
Family,Argentina,2009-04,1461,2
Family,Argentina,2009-05,1013,1
Family,Australia,2006-02,130,1
Family,Australia,2006-03,622,1
Family,Australia,2006-04,541,1
Family,Australia,2006-05,339,1
Family,Australia,2006-06,364,1
Family,Australia,2006-07,322,1
Family,Australia,2006-08,222,1
Family,Australia,2006-09,264,1
Family,Australia,2006-10,628,1
Family,Australia,2006-11,762,1
Family,Australia,2006-12,722,1
Family,Australia,2007-01,782,1
Family,Australia,2007-02,1615,2
Family,Australia,2007-03,7492,2
Family,Australia,2007-04,5990,2
Family,Australia,2007-05,3712,2
Family,Australia,2007-06,3152,2
Family,Australia,2007-07,1020,2
Family,Australia,2007-08,907,2
Family,Australia,2007-09,2033,2
Family,Australia,2007-10,2589,3
Family,Australia,2007-11,6751,3
Family,Australia,2007-12,10484,3
Family,Australia,2008-01,8458,3
Family,Australia,2008-02,4561,3
Family,Australia,2008-03,4478,3
Family,Australia,2008-04,4087,3
Family,Australia,2008-05,3915,3
Family,Australia,2008-06,3524,3
Family,Australia,2008-07,4553,3
Family,Australia,2008-08,3835,3
Family,Australia,2008-09,3592,3
Family,Australia,2008-10,3825,3
Family,Australia,2008-11,2907,3
Family,Australia,2008-12,1737,3
Family,Australia,2009-01,1738,3
Family,Australia,2009-02,1419,3
Family,Australia,2009-03,1254,3
Family,Australia,2009-04,966,2
Family,Australia,2009-05,1,1
Family,Austria,2005-12,352,1
Family,Austria,2006-01,2916,1
Family,Austria,2006-02,534,1
Family,Austria,2006-03,1891,1
Family,Austria,2006-04,1945,1
Family,Austria,2006-05,1079,1
Family,Austria,2006-06,1594,1
Family,Austria,2006-07,1559,1
Family,Austria,2006-08,1682,1
Family,Austria,2006-09,603,1
Family,Austria,2006-10,936,1
Family,Austria,2006-11,867,1
Family,Austria,2006-12,1644,1
Family,Austria,2007-01,815,1
Family,Austria,2007-02,757,1
Family,Austria,2007-03,504,1
Family,Austria,2007-04,629,1
Family,Austria,2007-05,902,1
Family,Austria,2007-06,794,1
Family,Austria,2007-07,1416,1
Family,Austria,2007-08,891,1
Family,Austria,2007-09,940,1
Family,Austria,2007-10,1281,1
Family,Austria,2007-11,948,1
Family,Austria,2007-12,1360,1
Family,Austria,2008-01,1121,1
Family,Austria,2008-02,1221,1
Family,Austria,2008-03,2520,1
Family,Austria,2008-04,2416,1
Family,Austria,2008-05,1276,1
Family,Austria,2008-06,902,1
Family,Austria,2008-07,425,1
Family,Austria,2008-08,970,1
Family,Austria,2008-09,353,1
Family,Austria,2008-10,552,1
Family,Austria,2008-11,855,1
Family,Austria,2008-12,326,1
Family,Austria,2009-01,2004,1
Family,Austria,2009-02,1565,1
Family,Austria,2009-03,619,1
Family,Austria,2009-04,418,1
Family,Austria,2009-05,24,1
Family,Belgium,2005-08,288,1
Family,Belgium,2005-09,325,1
Family,Belgium,2005-10,382,1
Family,Belgium,2005-11,368,1
Family,Belgium,2005-12,240,1
Family,Belgium,2006-01,283,1
Family,Belgium,2006-02,575,1
Family,Belgium,2006-03,615,1
Family,Belgium,2006-04,580,1
Family,Belgium,2006-05,565,1
Family,Belgium,2006-06,403,1
Family,Belgium,2006-07,435,1
Family,Belgium,2006-08,502,1
Family,Belgium,2006-09,927,1
Family,Belgium,2006-10,826,1
Family,Belgium,2006-11,503,1
Family,Belgium,2006-12,557,1
Family,Belgium,2007-01,373,1
Family,Belgium,2007-02,1425,1
Family,Belgium,2007-03,1541,1
Family,Belgium,2007-04,1118,1
Family,Belgium,2007-05,1501,1
Family,Belgium,2007-06,1310,1
Family,Belgium,2007-07,977,1
Family,Belgium,2007-08,1137,1
Family,Belgium,2007-09,655,1
Family,Belgium,2007-10,895,1
Family,Belgium,2007-11,630,1
Family,Belgium,2008-01,959,1
Family,Belgium,2008-02,737,1
Family,Belgium,2008-03,612,1
Family,Belgium,2008-04,615,1
Family,Belgium,2008-05,713,1
Family,Belgium,2008-06,511,1
Family,Belgium,2008-07,243,1
Family,Belgium,2008-08,629,1
Family,Belgium,2008-09,911,1
Family,Belgium,2008-10,113,1
Family,Belgium,2008-11,75,1
Family,Belgium,2008-12,363,1
Family,Belgium,2009-01,630,1
Family,Belgium,2009-02,476,1
Family,Belgium,2009-03,632,1
Family,Belgium,2009-04,827,1
Family,Belgium,2009-05,980,1
Family,Brazil,2006-03,489,1
Family,Brazil,2006-04,489,1
Family,Brazil,2006-05,190,1
Family,Brazil,2006-06,148,1
Family,Brazil,2006-07,13,1
Family,Brazil,2006-08,19,1
Family,Brazil,2006-09,25,1
Family,Brazil,2006-10,17,1
Family,Brazil,2006-11,49,1
Family,Brazil,2006-12,133,1
Family,Brazil,2007-01,1271,1
Family,Brazil,2007-02,1086,1
Family,Brazil,2007-03,710,1
Family,Brazil,2007-04,928,1
Family,Brazil,2007-05,989,1
Family,Brazil,2007-06,2293,2
Family,Brazil,2007-07,3574,2
Family,Brazil,2007-08,3932,2
Family,Brazil,2007-09,2876,2
Family,Brazil,2007-10,1733,2
Family,Brazil,2007-11,360,1
Family,Brazil,2007-12,2391,1
Family,Brazil,2008-01,1064,1
Family,Brazil,2008-02,1353,2
Family,Brazil,2008-03,1834,2
Family,Brazil,2008-04,2515,2
Family,Brazil,2008-05,2841,2
Family,Brazil,2008-06,2757,2
Family,Brazil,2008-07,4044,2
Family,Brazil,2008-08,4710,2
Family,Brazil,2008-09,4416,2
Family,Brazil,2008-10,5898,2
Family,Brazil,2008-11,4049,2
Family,Brazil,2008-12,3119,2
Family,Brazil,2009-01,2234,2
Family,Brazil,2009-02,860,2
Family,Brazil,2009-03,938,2
Family,Brazil,2009-04,1835,2
Family,Brazil,2009-05,934,1
Family,British Indian Ocean Territory,2005-11,29,1
Family,British Indian Ocean Territory,2005-12,57,1
Family,British Indian Ocean Territory,2006-05,51,1
Family,British Indian Ocean Territory,2006-06,229,1
Family,British Indian Ocean Territory,2006-07,1886,1
Family,British Indian Ocean Territory,2006-08,1885,1
Family,British Indian Ocean Territory,2006-09,1653,1
Family,British Indian Ocean Territory,2006-10,2069,1
Family,British Indian Ocean Territory,2006-11,3158,1
Family,British Indian Ocean Territory,2006-12,2190,1
Family,British Indian Ocean Territory,2007-01,3406,1
Family,British Indian Ocean Territory,2007-02,1739,1
Family,British Indian Ocean Territory,2007-03,1605,1
Family,British Indian Ocean Territory,2007-04,154,1
Family,British Indian Ocean Territory,2007-05,190,1
Family,British Indian Ocean Territory,2007-06,34,1
Family,British Indian Ocean Territory,2007-07,50,1
Family,British Indian Ocean Territory,2007-08,3,1
Family,British Indian Ocean Territory,2007-12,84,1
Family,British Indian Ocean Territory,2008-11,46,1
Family,British Indian Ocean Territory,2008-12,200,1
Family,British Indian Ocean Territory,2009-01,460,1
Family,British Indian Ocean Territory,2009-02,833,1
Family,British Indian Ocean Territory,2009-03,326,1
Family,British Indian Ocean Territory,2009-04,8,1
Family,Canada,2005-09,465,1
Family,Canada,2005-10,2389,2
Family,Canada,2005-11,1980,2
Family,Canada,2005-12,1830,2
Family,Canada,2006-01,667,2
Family,Canada,2006-02,807,2
Family,Canada,2006-03,1828,2
Family,Canada,2006-04,1490,2
Family,Canada,2006-05,1352,2
Family,Canada,2006-06,1884,2
Family,Canada,2006-07,1999,2
Family,Canada,2006-08,3610,3
Family,Canada,2006-09,3879,3
Family,Canada,2006-10,5603,3
Family,Canada,2006-11,3835,4
Family,Canada,2006-12,4117,4
Family,Canada,2007-01,6887,4
Family,Canada,2007-02,4535,4
Family,Canada,2007-03,5767,4
Family,Canada,2007-04,4270,5
Family,Canada,2007-05,5244,4
Family,Canada,2007-06,4427,4
Family,Canada,2007-07,4881,5
Family,Canada,2007-08,2805,5
Family,Canada,2007-09,3576,5
Family,Canada,2007-10,4433,6
Family,Canada,2007-11,6184,6
Family,Canada,2007-12,7066,6
Family,Canada,2008-01,6347,6
Family,Canada,2008-02,7301,6
Family,Canada,2008-03,8128,6
Family,Canada,2008-04,4655,5
Family,Canada,2008-05,8535,6
Family,Canada,2008-06,12921,6
Family,Canada,2008-07,16098,6
Family,Canada,2008-08,13352,6
Family,Canada,2008-09,10384,6
Family,Canada,2008-10,6825,6
Family,Canada,2008-11,4579,6
Family,Canada,2008-12,6053,6
Family,Canada,2009-01,5763,5
Family,Canada,2009-02,5789,5
Family,Canada,2009-03,7305,5
Family,Canada,2009-04,4402,6
Family,Canada,2009-05,1623,5
Family,Chile,2005-10,256,1
Family,Chile,2005-11,1153,1
Family,Chile,2005-12,1197,1
Family,Chile,2006-01,422,1
Family,Chile,2006-02,657,1
Family,Chile,2006-03,789,1
Family,Chile,2006-04,803,1
Family,Chile,2006-05,767,1
Family,Chile,2006-06,1067,1
Family,Chile,2006-07,918,1
Family,Chile,2006-08,622,1
Family,Chile,2006-09,580,2
Family,Chile,2006-10,956,2
Family,Chile,2006-11,1917,2
Family,Chile,2006-12,3899,3
Family,Chile,2007-01,6768,4
Family,Chile,2007-02,7541,4
Family,Chile,2007-03,7315,4
Family,Chile,2007-04,7319,4
Family,Chile,2007-05,7189,4
Family,Chile,2007-06,4967,4
Family,Chile,2007-07,5404,4
Family,Chile,2007-08,5739,4
Family,Chile,2007-09,4096,4
Family,Chile,2007-10,3892,4
Family,Chile,2007-11,5587,4
Family,Chile,2007-12,3634,4
Family,Chile,2008-01,4828,4
Family,Chile,2008-02,3140,4
Family,Chile,2008-03,2996,4
Family,Chile,2008-04,2014,4
Family,Chile,2008-05,2893,3
Family,Chile,2008-06,2116,4
Family,Chile,2008-07,2758,4
Family,Chile,2008-08,4041,3
Family,Chile,2008-09,3710,3
Family,Chile,2008-10,3204,3
Family,Chile,2008-11,3457,3
Family,Chile,2008-12,2612,3
Family,Chile,2009-01,1777,3
Family,Chile,2009-02,1895,2
Family,Chile,2009-03,2728,3
Family,Chile,2009-04,3612,4
Family,Chile,2009-05,2202,4
Family,Colombia,2006-09,69,1
Family,Colombia,2006-10,561,1
Family,Colombia,2006-11,474,1
Family,Colombia,2006-12,386,1
Family,Colombia,2007-01,340,1
Family,Colombia,2007-02,508,1
Family,Colombia,2007-03,513,1
Family,Colombia,2007-04,516,1
Family,Colombia,2007-05,1542,1
Family,Colombia,2007-06,1253,1
Family,Colombia,2007-07,1311,1
Family,Colombia,2007-08,1119,1
Family,Colombia,2007-09,1182,1
Family,Colombia,2007-10,2479,1
Family,Colombia,2007-11,1304,1
Family,Colombia,2007-12,1485,1
Family,Colombia,2008-01,665,1
