country,track_name,artist_name,play_count,country_rank
Algeria,Needle In The Hay,Elliott Smith,26,1
Algeria,Clementine,Elliott Smith,20,2
Algeria,Before And Again,Akron/Family,19,3
Algeria,Single File,Elliott Smith,19,3
Algeria,Christian Brothers,Elliott Smith,18,5
Algeria,Coming Up Roses,Elliott Smith,18,5
Algeria,Southern Belle,Elliott Smith,18,5
Algeria,Suchness,Akron/Family,18,5
Antarctica,Knights Of Cydonia,Muse,86,1
Antarctica,Pass This On,The Knife,75,2
Antarctica,Death Is The Road To Awe,Clint Mansell,56,3
Antarctica,Behind Closed Eyes,Myslovitz,55,4
Antarctica,While Your Lips Are Still Red,Nightwish,55,4
Argentina,Bright Lights,Matchbox Twenty,1010,1
Argentina,Downfall,Matchbox Twenty,835,2
Argentina,Better Alone,Melanie C,766,3
Argentina,Unwell,Matchbox Twenty,538,4
Argentina,Disease,Matchbox Twenty,500,5
Armenia,Sophia,Nerina Pallot,77,1
Armenia,Human,Civil Twilight,76,2
Armenia,Merry Christmas Mr. Lawrence,坂本龍一,76,2
Armenia,This Is The Last Time,Keane,76,2
Armenia,Hoppípolla,Sigur Rós,75,5
Australia,Comfortably Numb,Pink Floyd,196,1
Australia,Love Will Tear Us Apart,Boy Division,188,2
Australia,Snake,Pj Harvey,182,3
Australia,Naïve,The Kooks,155,4
Australia,I Bet You Look Good On The Dancefloor,Arctic Monkeys,145,5
Austria,Right Where It Belongs V.2,Nine Inch Nails,370,1
Austria,1 Ghosts I,Nine Inch Nails,283,2
Austria,13 Ghosts Ii,Nine Inch Nails,255,3
Austria,6 Ghosts I,Nine Inch Nails,253,4
Austria,36 Ghosts Iv,Nine Inch Nails,234,5
Belarus,Just Like Bruce Lee,Iamx,62,1
Belarus,Skin Vision,Iamx,62,1
Belarus,Kiss And Swallow,Iamx,60,3
Belarus,Purest One,Iamx,60,3
Belarus,Strychnine,Iamx,57,5
Belgium,"Love, Sweat And Beer",Hadouken!,704,1
Belgium,Invaders Must Die,The Prodigy,683,2
