track_name,artist_name,play_count,unique_listeners
Such Great Heights,The Postal Service,3990,321
Love Will Tear Us Apart,Boy Division,3660,318
Karma Police,Radiohead,3532,346
Soul Meets Body,Death Cab For Cutie,3469,233
Supermassive Black Hole,Muse,3469,262
Heartbeats,The Knife,3154,176
Starlight,Muse,3051,260
Rebellion (Lies),Arcade Fire,3047,292
Gimme More,Britney Spears,3002,59
When You Were Young,The Killers,2998,235
Evil,Interpol,2985,248
Love Lockdown,Kanye West,2950,76
Teardrop,Massive Attack,2947,309
I Will Follow You Into The Dark,Death Cab For Cutie,2944,240
Time Is Running Out,Muse,2942,274
Banquet,Bloc Party,2904,280
Neighborhood #1 (Tunnels),Arcade Fire,2825,253
All I Need,Radiohead,2694,243
Nothing Better,The Postal Service,2669,217
Chasing Cars,Snow Patrol,2665,204
